"Name"	"Champion"	"Kind"	"Effect Text"
"Focus"	"Ashe"	"Champion Passive"	"(Innate): While not autoattacking, Ashe's critical strike chance increases by 3 /  6 /  9 /  12 /  15 /  18 % every 3 seconds. This bonus critical strike chance is removed after Ashe's next autoattack."
"Frost Shot"	"Ashe"	""	"(Toggle): While toggled on, each of Ashe's autoattacks will slow her target for 2 seconds.
Cost: 8 mana per attack


Slow: 15 / 20 / 25 / 30 / 35 %"
"Volley"	"Ashe"	""	"(Active): Ashe fires 7 arrows in a cone, dealing physical damage to each target hit. Each arrow will only hit one enemy, and each enemy will only be hit by one arrow. It also applies a slow equal to the one in the current rank of Frost Shot even if it is not toggled on.
Cost: 60 mana
Range: 1200
Cone Width: 57.5º


Cooldown: 20 / 16 / 12 / 8 / 4 seconds
Physical Damage Per Arrow: 40 / 50 / 60 / 70 / 80 (+1.0 per attack damage)"
"Hawkshot"	"Ashe"	""	"(Passive): Ashe gains bonus gold each time she kills a unit or destroys a structure.
Bonus Gold: 1 / 2 / 3 / 4 / 5"
"Enchanted Crystal Arrow"	"Ashe"	""	"(Active): Ashe fires a missile of ice in a straight line that will pass over all other units and terrain, until it collides with an enemy Champion, or until it leaves the map. If the arrow collides with an enemy Champion, it will deal magic damage and stun the target. Additionally, it will deal half damage, and slow all other units in a small radius of the target, including the target itself by 50% for 3 seconds. The duration of the stun increases the farther the arrow travels before impact and caps at 3.5 seconds.
Cost: 150 mana
Explosion Radius: 250


Cooldown: 100 / 90 / 80 seconds
Magic Damage: 250 / 425 / 600 (+1.0 per ability power)"
"Techmaturgical Repair Bots"	"Heimerdinger"	"Champion Passive"	"(Innate): Heimerdinger gives himself and nearby allied structures and units 10 /  15 /  20 /  25 health regeneration per 5 seconds.
Radius: 800"
"H-28G Evolution Turret"	"Heimerdinger"	""	"(Active): Heimerdinger constructs a Turret with 260 + (15 &times; level) health that fires at nearby enemies, dealing magic damage (half damage to towers and inhibitors). Heimerdinger stores enough parts for a new turret every 25 seconds (affected by cooldown reduction). Turrets attack 50% faster for the first 6 seconds after placement. Turrets disappear automatically when Heimerdinger dies. Turrets receive upgrades and transform with every ability rank.
Cooldown: 1 second
Range: 250
Turret range: 525
Turret attack speed: 1.25
Sight Radius: 625


Cost: 70 / 80 / 90 / 100 / 110 mana
Magic Damage: 30 / 38 / 46 / 54 / 62 (+0.2 per ability power) 
Rank 1: Yellow turret.
Rank 2: Green turret: reduces armor &amp; magic resist by 1 for two seconds every hit (max. 50).
Rank 3: Green turrets: max turrets increased to 2.
Rank 4: Green turrets: gain an additional 125 health.
Rank 5: Red turrets: now apply 50% splash damage."
"Hextech Micro-Rockets"	"Heimerdinger"	""	"(Active): Heimerdinger fires 3 long range rockets that hit the enemies closest to him.
Cooldown: 10 seconds
Range: 1,000


Cost: 65 / 85 / 105 / 125 / 145 mana
Magic Damage: 85 / 135 / 185 / 235 / 285 (+0.55 per ability power)"
"CH-1 Concussion Grenade"	"Heimerdinger"	""	"(Active): Heimerdinger lobs a grenade at a targeted location, dealing magic damage to enemy units and blinding them. Enemies who are directly hit are stunned for 1.5 seconds.
Range: 925
Radius: 250 (estimate)
Stun radius: 100 (estimate)
Projectile speed: 750


Cost: 80 / 90 / 100 / 110 / 120 mana
Cooldown: 13 / 12 / 11 / 10 / 9 seconds
Magic Damage: 80 / 135 / 190 / 245 / 300 (+0.6 per ability power)
Blind Duration: 1 / 1.5 / 2 / 2.5 / 3 seconds"
"UPGRADE!!!"	"Heimerdinger"	""	"(Passive): Heimerdinger gains cooldown reduction.
Cooldown Reduction: 10 / 15 / 20 %"
"True Grit"	"Graves"	"Champion Passive"	"(Innate):  Graves gains 1 /  2 /  3 bonus armor and magic resistance every second he remains in combat. This bonus stacks up to 10 times. Graves is considered in combat if he has dealt or received damage in the last 3 seconds."
"Buckshot"	"Graves"	""	"(Active): Graves fires three bullets in a cone, dealing physical damage to all enemies in their path. Enemies at close range can be hit by multiple projectiles, but each bullet beyond the first will deal only 25% damage.
Range: 750


Cost: 60 / 70 / 80 / 90 / 100 mana
Cooldown: 12 / 11 / 10 / 9 / 8 seconds
Physical Damage: 60 / 105 / 150 / 195 / 240 (+0.8 per bonus attack damage) 
Max Physical Damage: 90 / 157.5 / 225 / 292.5 / 360 (+1.2 per bonus attack damage)"
"Smokescreen"	"Graves"	""	"(Active): Graves fires a smoke canister at the target area, dealing magic damage upon landing and creating a cloud of smoke for 5 seconds. Enemies inside the smoke cloud will be slowed and will have their vision reduced to only what is inside the smoke cloud and enemies attacking them; everything else will look like it is in the Fog of War.
Range: 700
Area of effect radius: 250(?)


Cost: 70 / 75 / 80 / 85 / 90 mana
Cooldown: 20 / 19 / 18 / 17 / 16 seconds
Magic Damage: 60 / 110 / 160 / 210 / 260 (+0.6 per ability power)
Slow: 15 / 20 / 25 / 30 / 35 %"
"Quickdraw"	"Graves"	""	"(Active): Graves dashes forward, gaining an attack speed boost for 4 seconds. Using autoattacks on enemy units, but not structures, lowers the cooldown of Quickdraw by 1 second each autoattack.
Cost: 50 mana
Range: 425


Cooldown: 22 / 20 / 18 / 16 / 14 seconds
Attack Speed: 40 / 50 / 60 / 70 / 80 %"
"Collateral Damage"	"Graves"	""	"(Active): Graves fires an explosive shell in a straight line, dealing heavy physical damage to the first champion it hits (also damages non-champion enemies whilst in flight). After hitting a champion or reaching the end of its range, the shell explodes dealing physical damage in a cone behind the target.
Cost: 100 mana
Range: 1000


Cooldown: 100 / 90 / 80 seconds
Initial Physical Damage: 250 / 350 / 450 (+1.4 per bonus attack damage)
Explosion Physical Damage: 140 / 250 / 360 (+1.2 per bonus attack damage)"
"Runic Blade"	"Riven"	"Champion Passive"	"(Innate): Riven's abilities charge her blade, causing her to do 5 /  7 /  9 /  11 /  13 /  15 (+0.5 per bonus attack damage) bonus physical damage on her next autoattack. Riven can store up to 3 charges, and will only expend one at a time."
"Broken Wings"	"Riven"	""	"(Active): Riven steps forward and lashes out in a series of powerful sword slashes that will damage all enemies nearby. This ability can be activated a second time within 4 seconds, and a third time within 4 seconds of that. On the third activation she will also knock nearby enemies back and have a larger radius of damage. All three strikes will deal the same amount of damage.
No cost
Cooldown: 13 seconds
Range of dash: 260
Radius of damaging AoE: 225 (estimate)
Radius of third strike's damaging AoE: 300 (estimate)
Knockback: 225


Physical Damage Per Strike: 30 / 55 / 80 / 105 / 130 (+0.7 per bonus attack damage)"
"Ki Burst"	"Riven"	""	"(Active): Riven deals physical damage and stuns nearby enemies for 0.75 seconds.
No cost
Radius of AoE: 250


Cooldown: 11 / 10 / 9 / 8 / 7 seconds
Physical Damage: 50 / 80 / 110 / 140 / 170 (+1.0 per bonus attack damage)"
"Valor"	"Riven"	""	"(Active): Riven dashes towards the cursor and gains a shield for up to 2.5 seconds.
No cost
Range of dash: 325


Cooldown: 10 / 9 / 8 / 7 / 6 seconds
Shield Strength: 60 / 90 / 120 / 150 / 180 (+1.0 per bonus attack damage)"
"Blade of the Exile"	"Riven"	""	"(Active): Riven's sword reforms, gaining 20% bonus attack damage, extended range on her damaging abilities and autoattacks for 15 seconds. She is also granted the ability to use Wind Slash once for the duration.
Cooldown: 75 / 60 / 45 seconds"
"Power Chord"	"Sona"	"Champion Passive"	"(Innate): After casting 3 spells, Sona's next attack deals extra 14 + (9 x level) magic damage. This enhanced attack has an additional effect depending on which spell was cast last."
"Hymn of Valor"	"Sona"	""	"(Stance) - Persistent Aura: Sona plays the Hymn of Valor, granting nearby allied champions bonus attack damage and ability power until she changes stances.
Radius:


Attack Damage &amp; Ability Power: 8 / 11 / 14 / 17 / 20"
"Aria of Perseverance"	"Sona"	""	"(Stance) - Persistent Aura: Sona plays the Aria of Perseverance, granting nearby allied champions bonus armor and magic resistance until she changes stances.
Radius:


Armor &amp; Magic Resist: 7 / 9 / 11 / 13 / 15"
"Song of Celerity"	"Sona"	""	"(Stance) - Persistent Aura: Sona plays the Song of Celerity, granting nearby allied champions bonus flat movement speed until she changes stances.
Radius:


Movement Speed: 8 / 11 / 14 / 17 / 20"
"Crescendo"	"Sona"	""	"(Active): Sona plays her ultimate chord in a broad line in front of her, forcing enemy champions caught to dance stunned for 1.5 seconds and take magic damage over the duration.
Range: 1000


Cost: 100 / 150 / 200 mana
Cooldown: 140 / 120 / 100 seconds
Magic Damage: 150 / 250 / 350 (+0.8 per ability power)"
"Essence Theft"	"Ahri"	"Champion Passive"	"(Innate): Ahri gains a charge of Essence Theft whenever one of her spells hits an enemy. This caps at 3 charges per spell cast. Upon reaching 9 charges, Ahri's next spell will have 35% bonus spell vamp."
"Orb of Deception"	"Ahri"	""	"(Active): Ahri sends out an orb in a line in front of her and then pulls it back, dealing magic damage on the way out and true damage on the way back.
Cooldown: 7 seconds
Range: 880


Cost: 70 / 75 / 80 / 85 / 90 mana
Magic Damage: 40 / 65 / 90 / 115 / 140 (+0.33 per ability power)
True Damage: 40 / 65 / 90 / 115 / 140 (+0.33 per ability power)"
"Fox-Fire"	"Ahri"	""	"(Active): Ahri releases three fox-fires to surround her for up to 5 seconds.  After a short delay after cast, they will target nearby enemies, always prioritizing champions, to deal magic damage to them. Additional fox-fires that hit the same target will only deal 50% damage.
Cost: 60 mana
Range: 800


Cooldown: 9 / 8 / 7 / 6 / 5 seconds
Magic Damage Per Fox-Fire: 40 / 70 / 100 / 130 / 160 (+0.38 per ability power)
Maximum Damage to the Same Target Per Cast: 80 / 140 / 200 / 260 / 320 (+0.76 per ability power)"
"Charm"	"Ahri"	""	"(Active): Ahri will blow a kiss that travels in a line in front of her. It will deal magic damage and charm the first enemy it encounters, forcing them to walk harmlessly towards her, while being slowed by 50% for the duration.
Cooldown: 12 seconds
Range: 975


Cost: 50 / 65 / 80 / 95 / 110 mana
Magic Damage: 60 / 90 / 120 / 150 / 180 (+0.35 per ability power)
Charm Duration: 1 / 1.25 / 1.5 / 1.75 / 2 seconds"
"Spirit Rush"	"Ahri"	""	"(Active): Ahri dashes towards the cursor and fires essence bolts, dealing magic damage to up to 3 nearby enemies, prioritizing champions. In the next 10 seconds, Spirit Rush can be cast two additional times before going on cooldown. Each enemy can only be hit once per dash.
Cost: 100 mana
Range: 450


Cooldown: 90 / 80 / 70 seconds
Magic Damage Per Bolt: 100 / 140 / 180 (+0.3 per ability power)
Max Magic Damage to the Same Target: 300 / 420 / 540 (+0.9 per ability power)Max Magic Damage: 900 / 1260 / 1620 (+2.7 per ability power)"
"Twin Disciplines"	"Akali"	"Champion Passive"	"(Innate): Discipline of Force - Upon obtaining 20 ability power, Akali's autoattacks deal 8% bonus magic damage, increasing by 1% for every 6 ability power gained thereafter. The bonus magic damage doesn't affect towers, but it affects other structures.
Discipline of Might - Upon obtaining 10 bonus attack damage, Akali gains 8% spell vamp, increasing by an additional 1% for every 6 bonus attack damage gained thereafter."
"Mark of the Assassin"	"Akali"	""	"(Active): Akali throws her kama at a target enemy, dealing magic damage and marking the target for 6 seconds. Akali's melee attacks against a marked target will consume the mark dealing the same magic damage again and restoring energy.
Cost: 60 energy
Range: 600


Cooldown: 6 / 5.5 / 5 / 4.5 / 4 seconds
Magic Damage: 45 / 70 / 95 / 120 / 145 (+0.4 per ability power) 
Energy restored: 20 / 25 / 30 / 35 / 40"
"Twilight Shroud"	"Akali"	""	"(Active): Akali throws down a circular cover of smoke that lasts for 8 seconds. While inside the area, Akali gains armor and magic resistance and becomes stealthed. Attacking or using abilities will briefly reveal her for 0.5 seconds. Enemies are slowed while inside the smoke.
Cooldown: 20 seconds
Range to center of AoE: 700
Radius of AoE: 300


Cost: 80 / 75 / 70 / 65 / 60 energy
Armor and Magic Resistance Bonus: 10 / 20 / 30 / 40 / 50
Slow: 14 / 18 / 22 / 26 / 30 %"
"Crescent Slash"	"Akali"	""	"(Active): Akali flourishes her kamas, hitting nearby units for physical damage.
Cost: 60 energy
Radius of AoE: 325


Cooldown: 7 / 6 / 5 / 4 / 3 seconds
Physical Damage: 30 / 55 / 80 / 105 / 130 (+0.6 per attack damage) (+0.3 per ability power)"
"Shadow Dance"	"Akali"	""	"(Active): Akali moves through the shadows to quickly deal magic damage to the target and appear next to it. Akali gains an Essence of Shadow once every few seconds up to a total of 3, affected by cooldown reduction. The time to gain a charge doesn't count when at maximum charges. Additionally, Akali gains an Essence of Shadow for a kill or an assist.
Cost: 1 Essence of Shadow
Range: 800


Cooldown: 2 / 1.5 / 1 seconds
New Essence of Shadow: 25 / 20 / 15 seconds
Magic Damage: 100 / 175 / 250 (+0.5 per ability power)"
"Trample"	"Alistar"	"Champion Passive"	"(Innate): Each time Alistar casts a spell, he gains the ability to move through units and will deal 9 + (1 x level) + (0.1 per ability power) magic damage per second to nearby enemy units and structures for 3 seconds. It deals double damage to minions and monsters."
"Pulverize"	"Alistar"	""	"(Active): Alistar smashes the ground where he is standing, dealing magic damage to all enemies in the area and knocking them up for 1 second and stunning them upon landing for 0.5 seconds.
Radius of AoE: 365


Cost: 70 / 85 / 100 / 115 / 130 mana
Cooldown: 17 / 16 / 15 / 14 / 13 seconds
Magic Damage: 60 / 105 / 150 / 195 / 240 (+0.5 per ability power)"
"Headbutt"	"Alistar"	""	"(Active): Alistar dashes to an enemy, taking its position, and rams them, dealing magic damage and knocking them back a set distance.
Range: 650
Knockback Distance: 650


Cost: 80 / 90 / 100 / 110 / 120 mana
Cooldown: 14 / 13 / 12 / 11 / 10 seconds
Magic Damage: 85 / 130 / 175 / 220 / 265 (+0.7 per ability power)"
"Triumphant Roar"	"Alistar"	""	"(Active): Alistar instantly restores health to himself, healing nearby friendly units for half of that amount. The cooldown is reduced by 2 seconds each time a nearby enemy unit dies.
Cooldown: 12 seconds
Radius of AoE: 275


Cost: 20 / 30 / 40 / 50 / 60 mana
Self Heal: 60 / 90 / 120 / 150 / 180 (+0.2 per ability power)"
"Unbreakable Will"	"Alistar"	""	"(Active): Alistar instantly removes all crowd control effects from himself. He also gains bonus attack damage and takes reduced physical and magic damage for 7 seconds.
Cost: 150 mana


Cooldown: 120 / 100 / 80 seconds
Bonus Attack Damage: 60 / 75 / 90
Damage Reduction: 50 / 60 / 70 %"
"Cursed Touch"	"Amumu"	"Champion Passive"	"(Innate): Amumu's autoattacks reduce the target's magic resistance by 15 /  25 /  35 for 4 seconds. The debuff doesn't stack but it refreshes with every autoattack."
"Bandage Toss"	"Amumu"	""	"(Active): Amumu tosses a sticky bandage in a straight line. If it contacts an enemy, Amumu will pull himself to it, dealing magic damage and stunning the target for 1 second.
Range: 1,100


Cost: 80 / 90 / 100 / 110 / 120 mana
Cooldown: 16 / 14 / 12 / 10 / 8 seconds
Magic Damage: 80 / 140 / 200 / 260 / 320 (+1.0 per ability power)"
"Despair"	"Amumu"	""	"(Toggle): While toggled on, Amumu will be surrounded by a small damaging area of tears. Enemies in the area will be dealt a percentage of their maximum health plus a base amount as magic damage each second.
Cost: 8 mana per second
Cooldown: 1 second
Radius of AoE: 300


Base Magic Damage: 8 / 12 / 16 / 20 / 24
Max Health to Damage Ratio: 1.5 / 1.8 / 2.1 / 2.4 / 2.7% (+0.005% per ability power)"
"Tantrum"	"Amumu"	""	"(Passive): Amumu takes reduced physical damage from autoattacks and abilities.
Physical Damage Reduction: 2 / 4 / 6 / 8 / 10"
"Curse of the Sad Mummy"	"Amumu"	""	"(Active): Amumu entangles surrounding enemy units, dealing magic damage and rendering them unable to move or use autoattack for 2 seconds.
Radius of AoE: 600


Cost: 100 / 150 / 200 mana
Cooldown: 170 / 150 / 130 seconds
Magic Damage: 150 / 250 / 350 (+1.0 per ability power)"
"Rebirth"	"Anivia"	"Champion Passive"	"(Innate): Upon dying, Anivia will revert into an egg and will get an armor and magic resistance modifier of -40 /  -25 /  -10 /  +5 /  +20. If the egg can survive for six seconds, she is reborn with the same percentage of health that her egg had left. This can only happen once every four minutes regardless of cooldown reduction."
"Flash Frost"	"Anivia"	""	"(Active): Anivia summons a shard of ice that flies on a line. The shard will deal magic damage and slow by 20% for 3 seconds to anyone in its path. The shard will detonate when reaching its max range or if the ability is activated again. When the shard explodes it will deal magic damage to all enemies nearby, stunning them for 1 second. The magic damage done by both the shard and the detonation is the same, and both will apply the ""chilled"" debuff on enemies hit for 3 seconds.
Skillshot Range: 1100
Detonation's Radius of AoE: 150


Cost: 80 / 100 / 120 / 140 / 160 mana
Cooldown: 12 / 11 / 10 / 9 / 8 seconds
Magic Damage: 60 / 90 / 120 / 150 / 180 (+0.5 per ability power)"
"Crystallize"	"Anivia"	""	"(Active): Anivia condenses the moisture in the air into an impenetrable wall of ice to block the movement of all units. The wall lasts 5 seconds before it melts.
Cooldown: 20 seconds
Range to Center of Wall: 1000


Cost: 70 / 90 / 110 / 130 / 150 mana
Wall Length: 400 / 500 / 600 / 700 / 800"
"Frostbite"	"Anivia"	""	"(Active): Anivia blasts her target with a freezing wind, dealing magic damage. If the target has been ""chilled"" by Anivia's other abilities, they will take double damage.
Cooldown: 5 seconds
Range: 650


Cost: 50 / 60 / 70 / 80 / 90 mana
Magic Damage: 55 / 85 / 115 / 145 / 175 (+0.5 per ability power)
Chilled Magic Damage: 110 / 170 / 230 / 290 / 350 (+1.0 per ability power)"
"Glacial Storm"	"Anivia"	""	"(Toggle): Anivia summons a driving rain of ice and hail on a nearby target area to continuously deal magic damage to enemies on it, slowing their movement and attack speed by 20% for 1 second, and ""chilling"" them.
Initial Cost: 75 mana
Cooldown upon Toggle Off: 6 seconds
Range to Center of AoE: 625
Radius of AoE: 300


Upkeep Cost: 40 / 50 / 60 mana per second
Magic Damage Per Second: 80 / 120 / 160 (+0.25 per ability power)"
"Pyromania"	"Annie"	"Champion Passive"	"(Innate): After every 5 spell casts, Annie's next offensive spell will stun its target for 1.75 seconds."
"Disintegrate"	"Annie"	""	"(Active): Annie shoots a mana infused fireball, dealing magic damage to her target. The mana cost is refunded if it kills the target.
Cooldown: 4 seconds
Range: 625


Cost: 60 / 70 / 80 / 90 / 100 mana
Magic Damage: 85 / 125 / 165 / 205 / 245 (+0.7 per ability power)"
"Incinerate"	"Annie"	""	"(Active): Annie casts a cone of fire in front of her, dealing magic damage to all enemies in the area.
Cooldown: 8 seconds.
Range: 625
Cone Width: ~45º


Cost: 80 / 95 / 110 / 125 / 140 mana
Magic Damage: 80 / 130 / 180 / 230 / 280 (+0.75 per ability power)"
"Molten Shield"	"Annie"	""	"(Active): Places a shield around Annie for 15 seconds that increases her armor and magic resistance. Additionally, enemies will be dealt magic damage whenever they use autoattacks on her while the shield is active.
Cost: 25 mana
Cooldown: 30 seconds


Armor &amp; Magic Resistance: 10 / 20 / 30 / 40 / 50
Magic Damage: 20 / 30 / 40 / 50 / 60 (+0.2 per ability power)"
"Summon Tibbers"	"Annie"	""	"(Active): Annie releases her bear Tibbers from his toy prison, dealing magic damage to enemy units in the summon area. For a limited time of 45 seconds, Tibbers can move and attack at Annie's will, while continually dealing magic damage to surrounding enemies.
Cooldown: 120 seconds.
Range to center of Summon's AoE: 600 (estimate)
Radius of Summon's AoE: 150
Radius of Tibbers' Aura AoE: 200
Continual Magic Damage: 35 (+0.2 per ability power)


Cost: 125 / 175 / 225 mana
Summon Magic Damage: 200 / 325 / 450 (+0.7 per ability power)
Tibbers' Attack Damage: 80 / 105 / 130
Tibbers' Health: 1200 / 1600 / 2000
Tibbers' Armor: 30 / 50 / 70
Tibbers' Magic Resist: 25 / 45 / 65"
"Blaze"	"Brand"	"Champion Passive"	"(Innate): Brand's spells light his targets ablaze, dealing 2% of their maximum health as magic damage per second for 4 seconds.(Max: 80 damage [per second] vs. Monsters)"
"Sear"	"Brand"	""	"(Active): Brand launches a fireball forward that deals magic damage to the first enemy it hits. If the target is ablaze, the target will be stunned for 2 seconds.
Cost: 50 mana
Range: 900


Cooldown: 8 / 7.5 / 7 / 6.5 / 6 seconds
Magic Damage: 80 / 120 / 160 / 200 / 240 (+0.65 per ability power)"
"Pillar of Flame"	"Brand"	""	"(Active): After a short delay, Brand blasts a target area, dealing magic damage to enemy units within the area. Units that are ablaze take an additional 25% damage.
Cooldown: 10 seconds.
Range to Center of AoE: 900
Radius of AoE: 175


Cost: 70 / 80 / 90 / 100 / 110 mana
Magic Damage: 75 / 120 / 165 / 210 / 255 (+0.6 per ability power)
Ablazed Magic Damage: 94 / 150 / 206 / 263 / 319 (+0.75 per ability power)"
"Conflagration"	"Brand"	""	"(Active): Brand conjures an instant blast at his target, dealing magic damage to it. If the target is ablaze, the conflagration will also spread to nearby enemies.
Range: 625
Spread Radius: 200


Cost: 60 / 65 / 70 / 75 / 80 mana
Cooldown: 12 / 11 / 10 / 9 / 8 seconds
Magic Damage: 70 / 105 / 140 / 175 / 210 (+0.55 per ability power)"
"Pyroclasm"	"Brand"	""	"(Active): Brand unleashes a devastating torrent of fire to a target that will bounce between enemies, dealing damage each time it bounces. If a target is ablaze, Pyroclasm's missile speed increases. It will bounce up to four times for a total of five hits, and can hit the same enemy up to three times.
Range: 750
Bounce Range:


Cost: 100 / 150 / 200 mana
Cooldown: 105 / 90 / 75 seconds
Magic Damage: 150 / 250 / 350 (+0.5 per ability power)
Max Magic Damage to the Same Target: 450 / 750 / 1050 (+1.5 per ability power)
Max Magic Damage: 750 / 1250 / 1750 (+2.5 per ability power)"
"Headshot"	"Caitlyn"	"Champion Passive"	"(Innate):After every 8 /  7 /  6 autoattacks,  Caitlyn's next autoattack will be enhanced to be a headshot, dealing 150% damage to a champion or 250% damage to a minion or monster. Attacks from brush grant  two charges instead of one."
"Piltover Peacemaker"	"Caitlyn"	""	"(Active): Caitlyn revs up her rifle for 1 second to unleash a penetrating shot in a line which will deal physical damage to all targets hits. It will deal 15% less damage for each subsequent target hit, down to a minimum of 40% damage dealt.
Range: 1300


Cost: 50 / 60 / 70 / 80 / 90 mana
Cooldown: 10 / 9 / 8 / 7 / 6 seconds
Physical Damage: 20 / 60 / 100 / 140 / 180 (+1.3 per attack damage)
Minimum Physical Damage: 8 / 24 / 40 / 56 / 72 (+.52 per attack damage)"
"Yordle Snap Trap"	"Caitlyn"	""	"(Active): Caitlyn sets a trap at the target nearby location. The trap triggers when a champion walks over it. This trap is visible to both allies and enemies. When sprung, the trap immobilizes the champion for 1.5 seconds, dealing magic damage over the duration and additionally revealing the target for 9 seconds. Caitlyn can set up to 3 traps and they last 4 minutes. When she sets a trap once the cap has been reached, the oldest trap will deactivate itself.
Cost: 50 mana
Placement Range: 800
Activation Range: 135


Cooldown: 20 / 17 / 14 / 11 / 8 seconds
Magical Damage: 80 / 130 / 180 / 230 / 280 (+0.6 per ability power)"
