"Name"	"Health"	"Health Per Level"	"Health regen."	"Health regen. Per Level"	"Mana"	"Mana Per Level"	"Mana regen."	"Mana regen. Per Level"	"Attack damage"	"Attack damage Per Level"	"Attack speed"	"Attack speed Per Level"	"Armor"	"Armor Per Level"	"Magic res"	"Magic res Per Level"	"Mov. speed"	"Range"	"Energy"	"Energy regen."
"Ashe"	"359"	"79"	"4.5"	"0.55"	"173"	"27"	"6.3"	"0.4"	"46.3"	"2.85"	"0.658"	"3.34%"	"9.3"	"3.4"	"30"	"0"	"300"	"600"	""	""
"Graves"	"410"	"84"	"5.5"	"0.7"	"255"	"40"	"6.75"	"0.7"	"51"	"3.1"	"0.638"	"2.9%"	"15"	"3.2"	"30"	"0"	"305"	"525"	""	""
"Heimerdinger"	"350"	"75"	"4.5"	"0.55"	"240"	"65"	"7.0"	"0.65"	"49.24"	"3"	"0.625"	"1.21%"	"7"	"3"	"30"	"0"	"300"	"550"	""	""
"Riven"	"414"	"86"	"10.4"	"0.9"	"N/A"	""	"N/A"	""	"54"	"2.75"	"0.625"	"3.5%"	"15"	"3.1"	"30"	"1.25"	"320"	"125"	""	""
"Sona"	"380"	"70"	"4.5"	"0.55"	"265"	"45"	"7.0"	"0.65"	"47"	"3"	"0.644"	"2.3%"	"8"	"3.3"	"30"	"0"	"305"	"550"	""	""
"Akali"	"425"	"85"	"7.25"	"0.65"	"85"	""	""	""	"53"	"3.2"	"0.694"	"3.1%"	"13.5"	"3.5"	"30"	"1.25"	"325"	"125"	"200"	"50"
"Alistar"	"442"	"102"	"7.25"	"0.85"	"215"	"38"	"6.45"	"0.45"	"55.03"	"3.62"	"0.625"	"2.13%"	"14.5"	"3.5"	"30"	"0"	"305"	"125"	""	""
"Annie"	"348"	"76"	"4.5"	"0.55"	"250"	"50"	"6.9"	"0.6"	"49"	"2.625"	"0.579"	"1.36%"	"8.5"	"4"	"30"	"0"	"310"	"625"	""	""
"Brand"	"380"	"76"	"4.5"	"0.55"	"250"	"45"	"7.0"	"0.6"	"51.66"	"3"	"0.625"	"1.36%"	"12"	"3.5"	"30"	"0"	"315"	"550"	""	""
"Caitlyn"	"390"	"80"	"4.75"	"0.55"	"255"	"35"	"6.5"	"0.55"	"47"	"3"	"0.668"	"3.0%"	"13"	"3.5"	"30"	"0"	"300"	"650"	""	""
"Anivia"	"350"	"70"	"4.65"	"0.55"	"257"	"53"	"7.0"	"0.6"	"48"	"3.2"	"0.625"	"1.68%"	"10.5"	"4"	"30"	"0"	"300"	"600"	""	""
"Amumu"	"472"	"84"	"7.45"	"0.85"	"220"	"40"	"6.50"	"0.525"	"47"	"3.8"	"0.638"	"2.18%"	"18"	"3.3"	"30"	"0"	"310"	"125"	""	""
"Cassiopeia"	"380"	"75"	"4.85"	"0.50"	"250"	"50"	"7.10"	"0.75"	"47"	"3.2"	"0.644"	"1.68%"	"11.5"	"4"	"30"	"0"	"310"	"550"	""	""
"Dr._Mundo"	"433"	"89"	"6.5"	"0.75"	"N/A"	""	"N/A"	""	"56.23"	"3"	"0.625"	"2.8%"	"17"	"3.5"	"30"	"1.25"	"320"	"125"	""	""
"Corki"	"375"	"82"	"4.5"	"0.55"	"243"	"37"	"4.0"	"0.35"	"48.2"	"3"	"0.658"	"2.3%"	"13.5"	"3.5"	"30"	"0"	"300"	"550"	""	""
"Evelynn"	"414"	"86"	"6.95"	"0.55"	"180"	"42"	"7.1"	"0.6"	"48"	"3.3"	"0.658"	"3.84%"	"12.5"	"4"	"30"	"1.25"	"315"	"125"	""	""
"Gangplank"	"495"	"81"	"4.25"	"0.75"	"215"	"40"	"6.5"	"0.7"	"54"	"3"	"0.651"	"2.35%"	"16.5"	"3.3"	"30"	"1.25"	"320"	"125"	""	""
"Garen"	"455"	"96"	"9"	"0.85"	"N/A"	""	"N/A"	""	"57.66"	"3"	"0.625"	"2.9%"	"19"	"2.7"	"30"	"1.25"	"320"	"125"	""	""
"Janna"	"356"	"78"	"4.5"	"0.55"	"302"	"64"	"6.9"	"0.60"	"49"	"2.95"	"0.625"	"2.61%"	"9"	"3.8"	"30"	"0"	"310"	"475"	""	""
"Ahri"	"380"	"80"	"5.5"	"0.6"	"230"	"50"	"6.25"	"0.6"	"50"	"3"	"0.668"	"2%"	"11"	"3.5"	"30"	"0"	"305"	"550"	""	""
"Jarvan_IV"	"420"	"90"	"7.0"	"0.7"	"235"	"40"	"6.0"	"0.45"	"50"	"3"	"0.658"	"2.5%"	"14"	"3"	"30"	"1.25"	"315"	"175"	""	""
"Jax"	"463"	"88"	"7.45"	"0.55"	"230"	"35"	"6.4"	"0.45"	"56.3"	"3.375"	"0.638"	"3.4%"	"18"	"3.5"	"30"	"1.25"	"325"	"125"	""	""
"Karthus"	"390"	"75"	"5.5"	"0.55"	"270"	"61"	"6.5"	"0.6"	"42.2"	"3.25"	"0.625"	"2.11%"	"11"	"3.5"	"30"	"0"	"310"	"450"	""	""
"Kassadin"	"433"	"78"	"6.95"	"0.5"	"230"	"45"	"6.9"	"0.6"	"52.3"	"3.9"	"0.638"	"3.7%"	"14"	"3.2"	"30"	"1.25"	"315"	"125"	""	""
"Kennen"	"403"	"79"	"4.65"	"0.65"	"85"	""	""	""	"51.3"	"3.3"	"0.687"	"3.4%"	"14"	"3.75"	"30"	"0"	"310"	"575"	"200"	"50"
"Lee_Sin"	"428"	"85"	"6.25"	"0.7"	"85"	""	""	""	"55.8"	"3.2"	"0.651"	"3%"	"16"	"3.7"	"30"	"1.25"	"325"	"125"	"200"	"50"
"Malphite"	"423"	"82"	"7.45"	"0.55"	"215"	"40"	"6.4"	"0.55"	"56.3"	"3.375"	"0.638"	"3.4%"	"18"	"3.75"	"30"	"1.25"	"310"	"125"	""	""
