"name","effects","cost","combine_cost"
"Amplifying Tome","+20 ability power","435",""
"Blasting Wand","+40 ability power","860",""
"Boots of Swiftness","Unique: Enhanced Movement 3","1000","650"
"Brawler's Gloves","+8% critical strike chance","400",""
"Chain Vest","+45 armor","700",""
"Cloak of Agility","+18% critical strike chance","830",""
"Dagger","+15% attack speed","420",""
"Cloth Armor","+18 armor","300",""
"Doran's Shield","+10 armor
+120 health
+8 health regeneration","475",""
"Elixir of Brilliance","On use, grants 20–40 ability power, based on champion level, and 10% cooldown reduction for 4 minutes.
Stacks
3 per item slot.","250",""
"Emblem of Valor","+17% life steal
Aura
Unique: Nearby allied champions gain +10 health regeneration.","800","100"
"Faerie Charm","+3 mana regeneration","180",""
"Fiendish Codex","+30 ability power
+7 mana regeneration
Passive
Unique: +10% cooldown reduction","1245","420"
"Giant's Belt","+430 health","1110",""
"Glacial Shroud","+45 armor
+425 mana
Passive
Unique: +15% cooldown reduction","1525","425"
"Kindlegem","+200 health
Passive
Unique: +10% cooldown reduction","850","375"
"Long Sword","+10 attack damage","415",""
"Mana Manipulator","Unique: Nearby allied champions gain +7.2 mana regeneration.","475","115"
"Mana Potion","Restores 100 mana over 15 seconds.
Stacks
9 per item slot.","40",""
"Meki Pendant","+7 mana regeneration","390",""
"Needlessly Large Rod","+80 ability power","1600",""
"Negatron Cloak","+48 magic resistance","740",""
"Null-Magic Mantle","+24 magic resistance","400",""
"Oracle's Extract","Grants your champion stealth detection for 5 minutes or until they die.","250",""
"Phage","+18 attack damage
+225 health
Passive
Unique: Your basic attacks have a 25% chance to slow your target's Movement Speed by 30% for 2.5 seconds.","1315","425"
"Pickaxe","+25 attack damage","975",""
"Prospector's Blade","+20 attack damage
+5% life steal
Passive
Unique: +200 health (does not stack with other Prospector items)","950",""
"Prospector's Ring","+30 ability power
+7 mana regeneration
Passive
Unique: +200 health (does not stack with other Prospector items)","950",""
"Recurve Bow","+40% attack speed","1050",""
"Regrowth Pendant","+15 health regeneration","435",""
"Rejuvenation Bead","+8 health regeneration","250",""
"Ruby Crystal","+180 health","475",""
"Sapphire Crystal","+200 mana","400",""
"Sorcerer's Shoes","+20 magic penetration
Passive
Unique: Enhanced Movement 2","1100","750"
"The Hex Core","Varies, based on augmentation
Passive
+3 ability power per level","0",""
"Vampiric Scepter","+12% life steal","450",""
"Stinger","+40% attack speed
Passive
Unique: +10% cooldown reduction","1090","250"
"Warden's Mail","+50 armor
+20 health regeneration
Passive
Unique: 20% chance on being hit by an autoattack to reduce attacker's movement speed and attack speed by 35% for 3 seconds.","1350","400"
"Zeal","+20% attack speed
+10% critical strike chance
+8% movement speed","1195","375"
"Avarice Blade","+12% critical strike chance
Passive
Unique: Gain +5 gold per 10 seconds.","750","350"
"B. F. Sword","+45 attack damage","1650",""
"Berserker's Greaves","+25% attack speed
Passive
Unique: Enhanced Movement 2","920","150"
"Bilgewater Cutlass","+35 attack damage
+15% life steal
Active
Unique: Target champion suffers 150 magic damage and is slowed by 50% for 3 seconds. 60 second cooldown and 400 range.","1825","400"
"Boots of Mobility","Unique: Enhanced Movement 2. When out of combat for 5 seconds the effect of these boots is increased to Enhanced Movement 5.","1000","650"
"Boots of Speed","Unique: Enhanced Movement 1","350",""
"Cloak and Dagger","+20% attack speed
+20% critical strike chance
+35 tenacity","1450","200"
"Doran's Blade","+10 attack damage
+100 health
+3% life steal","475",""
"Doran's Ring","+15 ability power
+100 health
+5 mana regeneration","475",""
"Eleisa's Miracle","+25 health regeneration
+20 mana regeneration
+35 Tenacity","1300","500"
"Elixir of Agility","On use, grants 12–22% attack speed, based on champion level, and 8% critical strike for 4 minutes.
Stacks
3 per item slot.","250",""
"Elixir of Fortitude","On use, grants 140–235 health, based on champion level and 10 attack damage for 4 minutes.
Stacks
3 per item slot.","250",""
"Entropy","+70 attack damage
+275 health
Passive
25% chance on hit to reduce your target's movement speed by 30% for 2.5 seconds.
Active
Unique: For 5 seconds, your attacks reduce your target's movement speed by 30% and deal 80 true damage over 2.5 seconds. 60 second cooldown.","3565","600"
"Guardian Angel","+68 armor
+38 magic resistance
Passive
Unique: Revives your champion upon death, restoring 750 health and 375 mana. 5 minute cooldown.","2600","1200"
"Guinsoo's Rageblade","+45 ability power
+35 attack damage
Passive
Unique: On cast or hit, you gain +6 ability power and +4% attack speed for 5 seconds (maximum 8 stacks).","2235","400"
"Haunting Guise","+25 ability power
+200 health
Passive
Unique: +20 magic penetration","1485","575"
"Health Potion","Restores 150 health over 15 seconds.
Stacks
9 per item slot.","35",""
"Heart of Gold","+250 health
Passive
Unique: Gain +5 gold per 10 seconds.","825","350"
"Hexdrinker","+35 attack damage
+30 magic resistance
Passive
Unique: If you would take magic damage which would leave you at less than 30% of your maximum health, You gain a shield which absorbs up to 300 magic damage for 4 seconds. 60 second cooldown.","1800","570"
"Hextech Revolver","+40 ability power
Passive
Unique: +15% spell vamp","1200","330"
"Hextech Sweeper","+40 ability power
+300 health
Passive
Unique: +10% cooldown reduction
Unique: Your spell damage grants vision of your target for 4 seconds.
Active
Unique: Covers an area with stealth-detecting mist for 6 seconds, granting vision of units which pass through it for 6 seconds. 60 second cooldown. (1000 Range, 375 AOE estimate).","1870","150"
"Infinity Edge","+80 attack damage
+25% critical strike chance
Passive
Unique: +50% critical strike damage","3830","375"
"Ionic Spark","+50% attack speed
+250 health
Passive
Unique: Every fourth basic attack unleashes a chain lightning, dealing 110 magic damage to up to 4 targets. (400 Bounce Range)","2300","775"
